batch,task,B,b,objectiveKind,category,atlasBStatus,macroStatus,atlasBObjectivePrimary,atlasBObjectiveSecondary,macroObjectivePrimary,macroObjectiveSecondary,atlasBWallSec,macroWallSec,atlasBVerification,macroVerification
b2,5to10Traces/0103.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,16.90764774499985,5.366930524999589,PASSED,PASSED
b2,5to10Traces/0104.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,9.707048043999748,4.828492632999996,PASSED,PASSED
b2,5to10Traces/0105.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,16.519396342999244,5.200390908001282,PASSED,PASSED
b2,5to10Traces/0106.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,10.254189063000013,5.3251882450003905,PASSED,PASSED
b2,5to10Traces/0107.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,20.72822625500021,5.442185600999437,PASSED,PASSED
b2,5to10Traces/0108.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,10.828915084999608,5.569829545000175,PASSED,PASSED
b2,5to10Traces/0109.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,23.372286902999804,7.111776201000794,PASSED,PASSED
b2,5to10Traces/0110.trace,67,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,1.7049760659997446,1.1354238660005649,PASSED,PASSED
b2,5to10Traces/0112.trace,67,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,3.8069317689987656,2.080859159001193,PASSED,PASSED
b2,5to10Traces/0114.trace,67,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.12923738100017,180.14163433700014,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0116.trace,67,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.15287411200006,180.13897709499997,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0117.trace,67,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,SAT,,,0,4,180.21010490699882,42.27589666200015,IN_PROGRESS,PASSED
